Id,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Ganhadores_Sena,Ganhadores_Quina,Ganhadores_Quadra
472,446,11,20,8,47,12,17,2,65,5039
473,447,24,55,15,33,25,42,0,55,5613
474,448,5,3,52,45,9,51,0,40,2999
475,449,34,56,24,1,49,8,0,55,3656
476,450,59,51,13,1,9,50,0,108,6194
477,451,23,18,31,17,53,28,0,87,7368
478,452,54,11,51,16,36,30,0,76,6317
479,453,58,52,8,34,20,23,0,120,7882
480,454,4,17,42,56,46,24,0,275,16564
481,455,50,15,17,2,14,59,0,86,7989
482,456,17,40,22,27,33,3,0,221,16964
483,457,48,15,24,27,17,32,3,480,31340
484,457,48,15,24,27,17,32,3,480,31340
485,457,48,15,24,27,17,32,3,480,31340
486,458,43,53,13,32,34,24,0,82,3921
487,459,43,17,8,15,49,39,0,62,4197
488,460,19,55,30,23,37,49,0,155,9464
489,461,30,17,20,29,15,60,0,189,8312
490,462,27,48,17,19,26,22,0,212,14463
491,463,7,18,2,45,3,53,0,166,15269
492,464,6,33,45,38,24,50,1,241,15457
493,465,46,31,1,57,22,51,0,19,2175
494,466,28,16,45,29,30,11,0,64,3582
495,467,38,21,8,22,18,60,0,45,3907
496,468,23,6,25,39,51,5,0,58,4701
497,469,29,47,42,21,13,26,2,187,8798
498,469,29,47,42,21,13,26,2,187,8798
499,470,51,58,23,11,8,37,0,86,6094
500,471,51,59,31,5,36,32,0,76,5490
501,472,12,3,38,29,51,4,0,82,6518
502,473,51,7,58,49,23,41,0,65,6524
503,474,34,3,12,50,32,40,0,56,6910
504,475,19,6,43,52,8,22,0,156,13235
505,476,38,43,20,55,17,58,0,163,11465
506,477,47,34,8,6,18,38,3,279,21958
507,477,47,34,8,6,18,38,3,279,21958
508,477,47,34,8,6,18,38,3,279,21958
509,478,30,8,31,3,21,25,0,92,4876
510,479,20,54,58,26,41,46,0,32,2834
511,480,36,38,33,14,49,41,0,112,8589
512,481,42,6,24,44,22,13,3,359,19465
513,481,42,6,24,44,22,13,3,359,19465
514,481,42,6,24,44,22,13,3,359,19465
515,482,13,56,12,33,53,54,0,41,2929
516,483,16,23,35,18,44,59,0,90,6279
517,484,53,19,38,18,17,49,0,55,4015
518,485,38,28,52,30,19,57,0,30,3203
519,486,50,42,19,8,30,14,1,55,4325
520,487,25,22,48,52,54,8,2,104,5329
521,487,25,22,48,52,54,8,2,104,5329
522,488,30,39,35,43,15,57,0,46,2699
523,489,28,36,17,53,33,59,0,67,5107
524,490,5,11,29,54,23,58,1,148,8438
525,491,22,43,15,55,9,1,1,81,4221
526,492,57,2,15,6,56,18,0,26,2629
527,493,54,20,3,18,42,24,0,79,5294
528,494,28,32,49,53,18,20,0,32,2766
529,495,36,15,60,8,29,49,0,48,5313
530,496,41,20,19,29,59,10,0,31,3495
531,497,9,41,32,13,58,20,0,72,5439
532,498,49,28,2,6,57,50,0,58,4592
533,499,59,1,11,5,44,4,1,126,8903
534,500,35,21,54,29,38,36,1,73,6818
535,501,34,27,56,28,16,39,0,43,3037
536,502,50,7,33,21,24,13,2,268,9549
537,502,50,7,33,21,24,13,2,268,9549
538,503,10,21,48,27,49,7,0,40,2934
539,504,39,19,11,8,50,30,0,54,4006
540,505,47,20,52,3,46,28,0,30,2559
541,506,31,37,34,15,38,4,0,65,4735
542,507,44,58,5,27,33,3,2,212,6604
543,507,44,58,5,27,33,3,2,212,6604
544,508,46,56,5,15,45,10,0,33,3025
545,509,32,55,34,35,28,33,0,39,2852
546,510,30,45,58,1,4,41,2,70,4392
547,510,30,45,58,1,4,41,2,70,4392
548,511,8,36,34,37,3,4,0,50,3155
549,512,8,40,58,4,53,31,3,41,2277
550,512,8,40,58,4,53,31,3,41,2277
551,512,8,40,58,4,53,31,3,41,2277
552,513,46,10,27,19,33,39,0,46,2427
553,514,15,52,40,36,51,42,0,20,1209
554,515,39,16,57,15,45,48,0,33,2636
555,516,24,5,34,13,35,33,0,164,7718
556,517,51,32,8,28,38,7,0,36,3262
557,518,44,8,5,15,18,10,0,182,8653
558,519,9,36,15,19,42,22,0,111,7018
559,520,32,34,17,35,9,12,0,166,10884
560,521,28,32,38,25,15,45,0,166,10610
561,522,49,52,15,25,14,6,0,118,8280
562,523,45,58,40,39,28,44,0,123,9692
563,524,47,29,34,48,19,41,1,180,17156
564,525,26,32,24,49,8,10,2,153,9640
565,525,26,32,24,49,8,10,2,153,9640
566,526,3,59,21,36,55,31,0,34,2444
567,527,17,14,50,52,6,26,0,23,2091
568,528,34,28,37,12,8,31,0,67,4827
569,529,56,45,13,33,38,1,15,87,4758
570,529,56,45,13,33,38,1,15,87,4758
571,529,56,45,13,33,38,1,15,87,4758
572,529,56,45,13,33,38,1,15,87,4758
573,529,56,45,13,33,38,1,15,87,4758
574,529,56,45,13,33,38,1,15,87,4758
575,529,56,45,13,33,38,1,15,87,4758
576,529,56,45,13,33,38,1,15,87,4758
577,529,56,45,13,33,38,1,15,87,4758
578,529,56,45,13,33,38,1,15,87,4758
579,529,56,45,13,33,38,1,15,87,4758
580,529,56,45,13,33,38,1,15,87,4758
581,529,56,45,13,33,38,1,15,87,4758
582,529,56,45,13,33,38,1,15,87,4758
583,529,56,45,13,33,38,1,15,87,4758
584,530,32,21,25,1,6,49,0,49,3771
585,531,3,1,35,7,18,50,0,96,5188
586,532,13,4,12,53,9,52,0,69,5314
587,533,27,18,13,59,21,53,0,82,5129
588,534,48,57,23,8,31,3,1,107,6559
589,535,49,14,47,56,6,28,1,59,4136
590,536,14,22,25,15,37,23,0,49,3217
591,537,37,3,19,34,39,7,1,128,5345
592,538,45,43,56,25,52,3,0,36,2657
593,539,16,50,55,6,47,19,0,21,1908
594,540,22,4,30,44,28,49,0,84,4535
595,541,58,57,27,13,49,52,1,54,4879
596,542,49,4,19,28,35,6,0,42,2800
597,543,35,54,37,42,49,46,1,78,2557
598,544,11,33,56,47,17,34,0,39,2415
599,545,43,35,57,29,40,17,1,102,4315
600,546,46,4,54,17,13,5,0,32,3003
601,547,4,59,13,53,28,30,1,42,2599
602,548,51,49,14,47,59,58,0,9,965
603,549,13,51,58,22,46,8,0,34,2772
604,550,17,56,16,38,39,45,0,39,2948
605,551,56,48,57,21,12,46,0,35,3027
606,552,22,54,52,47,49,9,0,69,4299
607,553,43,46,58,53,54,4,0,42,3308
608,554,47,29,31,15,60,42,0,64,4812
609,555,49,5,23,33,45,31,1,152,10733
610,556,8,45,30,33,17,10,0,20,1699
611,557,18,49,38,23,8,12,0,59,3777
612,558,59,57,7,58,31,14,0,21,2000
613,559,53,25,36,13,17,6,1,75,4460
614,560,32,18,11,30,2,58,0,44,2585
615,561,39,49,36,20,55,1,0,32,2743
616,562,37,35,23,16,57,55,0,117,5150
617,563,34,8,23,44,51,5,0,90,6007
618,564,38,13,32,20,10,49,0,46,4446
619,565,31,37,35,7,45,34,0,57,6804
620,566,17,6,20,18,13,37,0,176,13032
621,567,57,58,11,38,41,31,0,69,5787
622,568,25,41,17,29,13,22,0,457,24931
623,569,32,15,14,9,3,57,1,434,29922
624,570,35,32,36,33,51,15,0,84,7539
625,571,14,31,12,13,51,50,0,69,5572
626,572,33,3,20,60,9,16,0,162,9940
627,573,59,29,17,6,40,22,0,82,8272
628,574,32,23,2,10,44,17,0,162,12691
629,575,18,29,21,48,35,5,2,470,21660
630,575,18,29,21,48,35,5,2,470,21660
631,576,18,43,52,39,7,8,0,27,1978
632,577,31,47,28,23,8,24,0,57,4579
633,578,48,3,58,18,56,23,1,62,3639
634,579,15,34,39,17,4,9,1,90,5172
635,580,38,16,18,28,15,47,0,56,4097
636,581,30,25,52,14,39,17,1,56,4429
637,582,13,40,29,59,45,51,0,29,1943
638,583,55,6,41,20,43,7,0,36,2157
639,584,30,53,23,7,32,8,0,49,3278
640,585,24,39,12,33,57,36,1,124,7122
641,586,45,38,13,11,54,39,0,30,2162
642,587,30,2,36,18,60,29,0,36,2436
643,588,45,13,46,55,53,11,0,22,2088
644,589,13,7,33,59,6,8,0,152,9005
645,590,25,51,5,18,4,28,0,70,5155
646,591,58,3,18,50,34,1,0,64,4448
647,592,55,14,59,47,13,42,0,60,5062
648,593,27,29,1,59,25,49,0,68,5291
649,594,10,53,55,29,13,47,0,121,6444
650,595,54,2,43,1,50,25,0,89,7230
651,596,43,60,28,11,54,14,0,116,6578
652,597,42,40,27,22,56,29,0,140,10021
653,598,5,16,53,38,50,34,2,234,19229
654,598,5,16,53,38,50,34,2,234,19229
655,599,6,45,51,9,23,4,0,65,4755
656,600,18,39,54,34,31,16,0,73,4640
657,601,37,19,29,30,10,22,0,75,6002
658,602,38,60,13,7,55,46,0,95,6773
659,603,4,8,11,29,12,44,1,233,12565
660,604,41,49,51,25,15,46,0,15,1422
661,605,44,52,53,4,49,24,0,45,3980
662,606,41,6,23,55,32,35,1,43,3770
663,607,6,59,11,27,19,41,0,48,3059
664,608,30,6,37,19,24,13,0,101,5181
665,609,15,2,59,60,6,58,0,60,3994
666,610,25,49,30,43,47,45,0,62,4044
667,611,22,21,33,16,48,49,0,69,4531
668,612,55,33,15,50,53,18,0,41,3389
669,613,54,55,13,44,6,19,0,108,7101
670,614,60,31,12,48,57,16,0,53,4127
671,615,27,31,8,10,51,5,0,157,9780
672,616,24,16,26,54,12,2,0,90,9236
673,617,25,5,49,36,33,3,2,289,17341
674,617,25,5,49,36,33,3,2,289,17341
675,618,60,10,3,8,24,13,0,86,4992
676,619,16,12,46,14,8,19,0,101,5924
677,620,22,1,29,13,32,3,0,87,5886
678,621,29,31,50,26,57,49,0,40,3837
679,622,59,27,19,29,50,38,0,49,3560
680,623,42,23,55,30,9,49,0,124,6915
681,624,39,23,34,52,8,43,1,108,7284
682,625,59,12,32,42,24,40,0,49,4056
683,626,49,8,22,18,7,39,0,52,5096
684,627,19,13,45,58,56,1,0,112,8049
685,628,8,16,22,56,58,30,1,76,5510
686,629,40,47,39,16,51,15,1,15,1865
687,630,16,53,20,60,12,45,0,33,2972
688,631,1,28,47,20,44,32,1,46,3548
689,632,2,54,48,51,19,28,0,26,1962
690,633,27,46,5,50,11,22,0,58,3524
691,634,13,41,24,42,10,56,0,54,3752
692,635,49,42,37,8,20,26,0,58,3646
693,636,30,32,34,50,28,26,0,74,3170
694,637,52,58,43,48,11,18,0,29,3560
695,638,42,10,50,41,11,36,0,65,4518
696,639,51,39,35,60,45,13,0,72,5473
697,640,12,42,59,46,19,60,0,129,8094
698,641,17,13,33,9,1,34,1,366,20840
699,642,51,17,56,36,44,40,0,28,1988
700,643,14,45,24,37,40,42,0,41,2694
701,644,57,29,31,27,34,14,0,81,4433
702,645,52,48,24,53,54,3,0,39,4345
703,646,13,47,60,32,49,10,0,79,6173
704,647,56,19,11,14,12,54,1,50,5432
705,648,5,48,23,42,45,29,3,139,4869
706,648,5,48,23,42,45,29,3,139,4869
707,648,5,48,23,42,45,29,3,139,4869
708,649,9,54,41,48,33,24,0,31,2156
709,650,53,59,25,29,10,24,0,29,2765
710,651,39,45,28,26,48,60,0,36,4356
711,652,24,18,57,56,10,20,0,41,3874
712,653,31,24,19,34,9,5,0,74,6274
713,654,10,11,56,40,41,6,1,66,4745
714,655,26,39,1,37,43,48,0,23,2722
715,656,59,37,46,36,35,51,0,24,2623
716,657,20,59,58,33,60,16,1,56,3995
717,658,41,20,36,3,11,6,0,31,2883
718,659,14,29,40,34,51,52,0,22,1390
719,660,53,5,38,54,46,11,0,58,4204
720,661,42,40,27,4,55,36,0,64,4211
721,662,4,60,56,25,18,23,0,79,5525
722,663,1,49,30,55,27,51,0,64,4020
723,664,12,1,55,59,38,36,0,74,4971
724,665,8,47,7,48,25,18,0,185,10055
725,666,7,26,16,29,45,55,0,77,8122
726,667,5,23,16,4,49,1,1,203,15283
727,668,49,33,56,2,14,1,0,53,2814
728,669,7,41,24,40,49,27,1,32,2427
729,670,42,59,58,37,48,22,0,24,2895
730,671,27,16,39,51,9,38,0,67,4259
731,672,43,34,53,38,28,24,0,54,4411
732,673,6,40,37,11,20,34,0,72,4792
733,674,22,32,18,29,42,38,0,96,5586
734,675,50,42,30,25,43,24,0,67,5204
735,676,49,32,15,9,41,42,0,94,7583
736,677,25,10,48,8,32,55,0,284,12803
737,678,44,46,31,14,40,42,0,115,9797
738,679,37,21,54,3,58,25,1,448,22087
739,680,44,2,26,5,3,22,0,188,11222
740,681,59,21,53,25,58,38,0,62,5210
741,682,60,37,47,36,4,27,0,62,5647
742,683,43,40,12,11,2,35,0,79,5680
743,684,50,37,33,40,19,17,0,81,7103
744,685,33,27,5,56,12,43,1,347,15404
745,686,33,5,4,54,15,26,0,47,3901
746,687,59,48,1,7,41,14,0,28,2887
747,688,47,30,52,11,21,35,0,38,2757
748,689,6,60,7,31,49,51,0,29,2998
749,690,15,41,8,47,12,53,0,90,5446
750,691,55,16,58,8,37,50,0,54,3896
751,692,33,18,60,11,58,57,0,71,4995
752,693,14,50,41,17,31,13,0,152,7170
753,694,15,19,29,53,37,41,0,114,7087
754,695,13,40,21,52,6,11,0,76,6333
755,696,37,16,34,57,53,9,2,195,10814
756,696,37,16,34,57,53,9,2,195,10814
757,697,53,35,32,31,28,51,0,27,2895
758,698,22,8,27,43,55,12,0,43,3981
759,699,53,17,50,23,54,48,0,54,3752
760,700,2,3,24,40,31,14,0,53,3584
761,701,13,1,31,23,60,48,0,103,5623
762,702,1,56,18,58,45,57,0,47,3663
763,703,30,24,2,45,11,27,0,123,7343
764,704,2,27,50,34,18,4,0,56,5784
765,705,3,15,11,13,26,43,0,144,11514
766,706,22,10,17,7,2,60,0,282,15980
767,707,51,8,1,43,10,36,2,140,12461
768,707,51,8,1,43,10,36,2,140,12461
769,708,45,13,39,47,9,7,0,102,5998
770,709,29,22,44,9,6,4,0,106,5202
771,710,46,25,5,49,39,34,0,48,4608
772,711,10,5,41,59,40,33,0,79,5840
773,712,35,7,53,58,8,43,0,97,5637
774,713,46,1,26,16,12,54,0,67,5838
775,714,17,53,39,8,7,35,0,113,10955
776,715,54,36,12,4,33,24,3,237,13134
777,715,54,36,12,4,33,24,3,237,13134
778,715,54,36,12,4,33,24,3,237,13134
779,716,29,2,7,50,16,32,1,37,2512
780,717,28,35,41,17,6,23,0,68,3816
781,718,7,35,21,39,58,33,0,41,2893
782,719,39,47,37,53,32,3,0,63,3553
783,720,12,56,44,51,31,54,0,20,2606
784,721,14,3,23,55,36,25,0,99,6723
785,722,60,36,57,18,44,9,0,85,5334
786,723,16,6,52,1,36,50,0,49,4000
787,724,34,51,55,17,48,27,0,102,6190
788,725,49,9,3,35,37,41,2,343,20451
789,725,49,9,3,35,37,41,2,343,20451
790,726,40,47,1,5,7,37,0,35,2838
791,727,14,42,12,4,59,30,0,29,2688
792,728,44,42,13,8,24,32,0,81,5381
793,729,33,56,18,57,43,5,1,51,5041
794,730,45,15,2,54,16,50,0,34,2824
795,731,35,6,15,23,28,16,0,88,6659
796,732,49,19,53,50,17,6,0,65,4196
797,733,12,26,31,43,46,2,0,67,5110
798,734,44,45,27,29,43,54,1,58,3984
799,735,40,42,15,52,38,9,0,33,3043
800,736,1,21,38,41,56,49,0,19,2190
801,737,33,12,24,38,11,32,0,65,6267
802,738,15,30,14,42,26,54,0,47,4178
803,739,6,45,56,49,35,10,0,54,4723
804,740,29,47,12,50,16,28,1,90,6943
805,741,26,39,27,24,59,36,0,23,2133
806,742,34,17,7,41,2,50,0,25,1622
807,743,54,20,32,60,25,23,0,28,2762
808,744,26,46,12,23,39,4,0,77,5387
809,745,21,57,37,16,43,2,0,134,5262
810,746,49,12,10,57,25,1,2,114,6686
811,746,49,12,10,57,25,1,2,114,6686
812,747,21,23,56,12,3,2,0,53,4363
813,748,1,7,19,51,35,2,0,74,4519
814,749,24,47,4,57,48,50,0,31,2669
815,750,58,17,54,10,42,33,0,49,3799
816,751,4,25,38,50,20,7,0,74,5579
817,752,25,4,29,42,24,23,0,86,6849
818,753,59,35,43,22,7,2,1,152,8630
819,754,4,42,34,50,3,13,0,41,2827
820,755,59,30,47,12,4,49,0,41,2977
821,756,37,50,41,5,38,27,0,34,3135
822,757,17,32,12,18,58,30,0,53,3448
823,758,47,59,1,23,36,43,0,74,4910
824,759,59,39,30,31,48,45,0,38,2588
825,760,12,17,60,44,46,45,0,80,5517
826,761,56,29,17,13,27,40,0,100,8936
827,762,39,9,21,12,37,54,0,143,10120
828,763,40,47,1,48,9,26,0,101,7655
829,764,7,3,55,47,53,45,1,189,15290
830,765,3,37,50,16,30,10,0,62,4336
831,766,1,50,19,42,24,58,0,63,4477
832,767,22,50,32,38,54,15,0,62,4419
833,768,33,37,59,30,4,8,1,93,6408
834,769,20,21,50,29,12,16,0,49,3078
835,770,4,34,25,35,48,12,0,68,5401
836,771,29,46,34,47,21,14,0,69,4559
837,772,38,51,52,60,10,35,0,66,5330
838,773,3,5,51,29,34,14,0,58,4919
839,774,37,5,54,58,46,10,1,64,4336
840,775,27,12,46,47,42,50,0,30,3058
841,776,57,35,60,41,3,15,0,56,3075
842,777,14,50,23,2,28,56,0,80,3943
843,778,45,20,36,37,31,51,0,21,1890
844,779,36,54,52,25,29,26,0,26,3127
845,780,10,50,28,51,59,7,0,43,3828
846,781,10,54,8,39,56,13,0,66,5707
847,782,11,23,59,42,35,2,0,144,7533
848,783,43,21,48,8,4,32,1,140,8427
849,784,42,56,8,37,27,53,0,27,2163
850,785,35,5,37,8,48,17,1,126,6657
851,786,27,31,26,11,10,41,0,19,1521
852,787,37,31,20,60,34,54,0,40,1955
853,788,31,57,17,19,29,44,0,62,3247
854,789,60,39,31,38,6,50,0,13,1808
855,790,22,2,19,28,43,6,0,71,5884
856,791,42,35,19,9,14,58,1,114,5756
857,792,43,56,9,45,29,34,0,32,1949
858,793,3,51,33,15,16,57,0,62,3629
859,794,56,47,55,38,42,3,0,15,1730
860,795,14,36,21,29,26,48,0,76,4389
861,796,19,24,43,34,39,5,0,80,4883
862,797,58,48,52,47,12,6,0,66,3447
863,798,32,9,4,52,29,3,0,48,4104
864,799,29,35,19,57,42,55,0,56,4675
865,800,1,7,56,11,37,38,0,44,4497
866,801,20,22,11,19,48,42,0,73,5791
867,802,14,24,60,6,18,48,0,117,8216
868,803,10,57,28,3,5,21,0,193,12055
869,804,13,59,37,56,3,47,1,134,9937
870,805,30,2,48,60,43,36,0,62,3489
871,806,60,41,47,26,35,18,0,50,3179
872,807,8,27,2,32,56,49,0,130,6188
873,808,15,21,31,46,2,57,0,44,3844
874,809,25,23,11,5,30,15,0,121,7669
875,810,4,33,1,48,5,37,0,75,6450
876,811,32,57,28,41,10,47,2,89,5508
877,811,32,57,28,41,10,47,2,89,5508
878,812,57,39,54,11,38,13,0,57,2116
879,813,23,15,56,46,9,45,0,43,3244
880,814,11,2,46,50,8,41,0,37,2534
881,815,57,50,9,39,37,19,0,56,3621
882,816,21,47,40,52,30,20,0,21,1885
883,817,34,43,29,30,10,52,0,27,2469
884,818,44,41,22,8,9,25,0,58,4935
885,819,51,5,58,46,25,19,0,105,5868
886,820,17,45,32,21,10,46,2,82,5102
887,820,17,45,32,21,10,46,2,82,5102
888,821,4,29,38,36,33,42,0,37,3307
889,822,4,17,41,10,27,52,0,31,2585
890,823,15,26,59,1,54,51,0,22,2144
891,824,33,48,6,7,20,9,0,53,5002
892,825,28,21,40,10,41,47,0,52,4148
893,826,45,6,8,7,53,27,0,68,3571
894,827,24,56,30,51,42,18,0,47,4106
895,828,23,50,53,42,28,38,0,29,3478
896,829,32,50,14,47,10,56,0,162,10814
897,830,53,51,2,41,13,49,0,94,7705
898,831,3,50,48,42,32,33,0,117,12045
899,832,17,49,15,33,39,23,1,510,37086
900,833,53,58,57,16,46,13,0,40,2678
901,834,44,10,17,16,51,34,1,42,3073
902,835,58,31,57,49,33,18,0,40,4078
903,836,28,22,38,17,52,59,0,64,4859
904,837,16,5,24,34,6,60,1,73,6233
905,838,9,30,47,38,23,44,0,41,2825
906,839,11,18,8,7,37,43,0,77,5314
907,840,43,29,35,59,31,17,0,94,5512
908,841,36,51,32,22,38,7,0,67,5162
909,842,51,44,60,9,7,30,0,58,4700
910,843,34,48,1,16,45,36,0,68,5642
911,844,54,24,44,57,34,16,0,91,7679
912,845,40,48,19,20,14,52,0,67,5308
913,846,47,54,2,50,3,44,0,82,6231
914,847,42,14,44,27,15,48,1,242,14062
915,848,56,34,17,32,47,27,1,90,4602
916,849,8,39,9,58,44,49,0,33,2208
917,850,60,22,59,25,44,7,0,117,6520
918,851,16,32,35,58,19,3,3,177,7593
919,851,16,32,35,58,19,3,3,177,7593
920,851,16,32,35,58,19,3,3,177,7593
921,852,14,38,6,23,44,34,0,42,3489
922,853,51,30,59,46,38,56,0,17,1465
923,854,17,3,24,27,44,25,0,88,7056
924,855,42,3,24,53,43,31,0,59,3478
925,856,11,40,41,47,15,42,0,37,2924
926,857,17,59,49,2,3,50,0,71,4732
927,858,31,37,54,23,4,18,2,185,8821
928,858,31,37,54,23,4,18,2,185,8821
929,859,46,47,12,57,34,9,0,35,3275
930,860,22,8,17,42,44,2,0,111,6853
931,861,42,40,60,59,47,39,1,34,2296
932,862,19,35,12,2,11,8,1,99,5632
933,863,32,53,50,57,15,24,0,25,1454
934,864,31,11,33,42,57,8,0,47,2926
935,865,27,23,41,51,26,53,0,28,2694
936,866,36,48,27,40,5,46,0,46,3704
937,867,54,26,28,19,44,10,0,51,4381
938,868,57,51,21,22,25,40,0,37,3453
939,869,29,42,50,51,49,27,1,57,3912
940,870,52,8,43,34,40,21,0,26,2923
941,871,17,5,58,1,47,10,0,80,6225
942,872,18,55,58,43,31,5,0,81,4636
